[2020-08-18 02:56:23,905][INFO]:GRPCServer initiated
[2020-08-18 03:53:30,244][INFO]:轮次57，轮次时间2020-08-18 03:52:59.764214，100K路由发送延时0:00:26.139050，100K路由传输耗时0:00:04.310182
[2020-08-18 03:54:29,893][INFO]:轮次58，轮次时间2020-08-18 03:53:59.765232，100K路由发送延时0:00:25.703022，100K路由传输耗时0:00:04.401643
[2020-08-18 03:55:30,517][INFO]:轮次59，轮次时间2020-08-18 03:54:59.760120，100K路由发送延时0:00:26.093757，100K路由传输耗时0:00:04.640790
[2020-08-18 03:56:29,613][INFO]:轮次60，轮次时间2020-08-18 03:55:59.760781，100K路由发送延时0:00:25.528086，100K路由传输耗时0:00:04.302536
[2020-08-18 03:57:30,237][INFO]:轮次61，轮次时间2020-08-18 03:56:59.764800，100K路由发送延时0:00:26.127552，100K路由传输耗时0:00:04.323682
[2020-08-18 03:58:30,386][INFO]:轮次62，轮次时间2020-08-18 03:57:59.761357，100K路由发送延时0:00:26.201965，100K路由传输耗时0:00:04.407072
[2020-08-18 03:59:30,334][INFO]:轮次63，轮次时间2020-08-18 03:58:59.763674，100K路由发送延时0:00:26.196919，100K路由传输耗时0:00:04.342097
[2020-08-18 04:00:29,834][INFO]:轮次64，轮次时间2020-08-18 03:59:59.748861，100K路由发送延时0:00:25.731363，100K路由传输耗时0:00:04.322955
[2020-08-18 04:01:30,126][INFO]:轮次65，轮次时间2020-08-18 04:00:59.763647，100K路由发送延时0:00:25.957424，100K路由传输耗时0:00:04.385103
[2020-08-18 04:02:30,097][INFO]:轮次66，轮次时间2020-08-18 04:01:59.759682，100K路由发送延时0:00:25.979037，100K路由传输耗时0:00:04.336880
[2020-08-18 04:03:30,245][INFO]:轮次67，轮次时间2020-08-18 04:02:59.747099，100K路由发送延时0:00:26.129738，100K路由传输耗时0:00:04.351226
[2020-08-18 04:04:29,733][INFO]:轮次68，轮次时间2020-08-18 04:03:59.762346，100K路由发送延时0:00:25.549506，100K路由传输耗时0:00:04.390710
[2020-08-18 04:05:30,455][INFO]:轮次69，轮次时间2020-08-18 04:04:59.763089，100K路由发送延时0:00:26.312833，100K路由传输耗时0:00:04.356388
[2020-08-18 04:06:29,799][INFO]:轮次70，轮次时间2020-08-18 04:05:59.763011，100K路由发送延时0:00:25.654967，100K路由传输耗时0:00:04.361624
[2020-08-18 04:07:30,515][INFO]:轮次71，轮次时间2020-08-18 04:06:59.763435，100K路由发送延时0:00:26.382895，100K路由传输耗时0:00:04.349656
[2020-08-18 04:08:30,236][INFO]:轮次72，轮次时间2020-08-18 04:07:59.748269，100K路由发送延时0:00:26.114394，100K路由传输耗时0:00:04.342685
[2020-08-18 04:09:29,991][INFO]:轮次73，轮次时间2020-08-18 04:08:59.747270，100K路由发送延时0:00:25.754238，100K路由传输耗时0:00:04.469435
